epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.262,1.66463,5.4171,1.62532,0.00235,0.0006,0.00133,0.00123,1.55329,5.3334,1.52273,2.14933e-05,2.14933e-05,2.14933e-05
2,902.907,1.56393,5.20772,1.56964,0.01512,0.06464,0.0178,0.0129,1.57818,4.93556,1.53551,3.88872e-05,3.88872e-05,3.88872e-05
3,1446.7,1.56128,4.86955,1.57251,0.63426,0.03366,0.02816,0.02063,1.60225,4.61999,1.55468,5.1991e-05,5.1991e-05,5.1991e-05
4,1953.61,1.57338,4.59394,1.58756,0.61585,0.05043,0.04516,0.03183,1.6038,4.38927,1.55173,4.5695e-05,4.5695e-05,4.5695e-05
5,2498.6,1.5679,4.39569,1.57996,0.60285,0.06587,0.05455,0.03849,1.60142,4.2502,1.55502,3.926e-05,3.926e-05,3.926e-05
6,3044.86,1.57782,4.25946,1.58889,0.56567,0.0813,0.06298,0.0437,1.60666,4.14076,1.5533,3.2825e-05,3.2825e-05,3.2825e-05
7,5058.29,1.576,4.16923,1.59051,0.53538,0.08457,0.06934,0.04755,1.60874,4.07637,1.55252,2.639e-05,2.639e-05,2.639e-05
8,5608.26,1.57719,4.0895,1.58354,0.49037,0.09815,0.07367,0.05025,1.61215,4.01514,1.5567,1.9955e-05,1.9955e-05,1.9955e-05
9,6154.76,1.57474,4.04957,1.5886,0.50186,0.09865,0.07625,0.05191,1.61232,3.99722,1.55678,1.352e-05,1.352e-05,1.352e-05
10,6689.72,1.56927,4.0254,1.58452,0.49844,0.10156,0.07583,0.05172,1.60926,3.98649,1.55771,7.085e-06,7.085e-06,7.085e-06
